iter	Logloss
0	0.6070857222
1	0.5430435554
2	0.5000084151
3	0.4585888615
4	0.4329454492
5	0.4131260873
6	0.3978106793
7	0.3892133799
8	0.3782959672
9	0.3690865425
10	0.3588807079
11	0.3559435885
12	0.351705475
13	0.3451625766
14	0.3404478444
15	0.336499598
16	0.3339858363
17	0.3296407092
18	0.326736982
19	0.3233620186
20	0.3211058792
21	0.3179130915
22	0.3169490111
23	0.3152258732
24	0.3144596729
25	0.3130654294
26	0.3115669728
27	0.3103843566
28	0.3097119371
29	0.30862443
30	0.30779259
31	0.3068689044
32	0.3053247018
33	0.3044217901
34	0.3029099425
35	0.3017772132
36	0.3006148782
37	0.2999163935
38	0.2987882794
39	0.2981512469
40	0.2974646936
41	0.2968126485
42	0.2959881755
43	0.2954565844
44	0.2945081568
45	0.2937875785
46	0.2933524483
47	0.2930131257
48	0.2921717164
49	0.2917603305
50	0.2911922234
51	0.2902217496
52	0.289316084
53	0.2884594062
54	0.2879749158
55	0.2875238304
56	0.287242657
57	0.2867032812
58	0.2863589419
59	0.2855521734
60	0.2849900065
61	0.284700478
62	0.2843530896
63	0.2840302609
64	0.2837392953
65	0.2836321834
66	0.2831971391
67	0.2829495192
68	0.2826508428
69	0.2821495544
70	0.2816610098
71	0.2812559793
72	0.2804003221
73	0.2799733456
74	0.2797099465
75	0.2795680568
76	0.2793304315
77	0.2788225329
78	0.2781446779
79	0.2777083254
80	0.2772097222
81	0.2769845338
82	0.2764457248
83	0.2760507885
84	0.2756236677
85	0.2753616426
86	0.2749025197
87	0.2744438124
88	0.2739367144
89	0.2733917291
90	0.2729254629
91	0.2726045215
92	0.2721180108
93	0.2716899611
94	0.2711263711
95	0.2707389495
96	0.2698994513
97	0.2690734252
98	0.2686993525
99	0.2680586297
100	0.2675225473
101	0.2672205852
102	0.2667627892
103	0.2658223751
104	0.2653683807
105	0.2650508651
106	0.2647560828
107	0.2646037332
108	0.2637756259
109	0.2632675414
110	0.2625126163
111	0.2621514426
112	0.2616207951
113	0.2613963906
114	0.2609967972
115	0.2606144948
116	0.2603810862
117	0.2599322852
118	0.2595616874
119	0.2591195166
120	0.2587717898
121	0.25823503
122	0.2577412615
123	0.2574944228
124	0.2570070081
125	0.2563350442
126	0.2559239822
127	0.2553674057
128	0.2551278008
129	0.2547432116
130	0.2540348472
131	0.2533950008
132	0.2531456564
133	0.2526882257
134	0.2521510624
135	0.2519983998
136	0.2514714314
137	0.2508057061
138	0.2503285264
139	0.2498773007
140	0.2489579829
141	0.2486391353
142	0.2481064104
143	0.2475417695
144	0.2468682857
145	0.2465690855
146	0.2462093863
147	0.2456869727
148	0.2453471854
149	0.2452569314
150	0.2449752508
151	0.2444430751
152	0.2440223418
153	0.2434922609
154	0.2429216596
155	0.2422381369
156	0.2419658886
157	0.2418232448
158	0.2414967804
159	0.2408458368
160	0.2399282844
161	0.2396298742
162	0.2393529845
163	0.2388934606
164	0.2380376565
165	0.2378415658
166	0.2374445317
167	0.2368913273
168	0.2365376001
169	0.2361397094
170	0.2359967409
171	0.2352803815
172	0.234924631
173	0.2344447844
174	0.2341037094
175	0.2338379677
176	0.2334504761
177	0.2327928301
178	0.2323489244
179	0.2319939757
180	0.231773618
181	0.2311086093
