iter	Passed	Remaining
419	2439	3368
420	2445	3363
421	2451	3357
422	2458	3353
423	2463	3346
424	2469	3340
425	2474	3334
426	2481	3329
427	2486	3323
428	2491	3316
429	2497	3309
430	2502	3303
431	2507	3297
432	2513	3291
433	2520	3286
434	2526	3281
435	2532	3276
436	2538	3270
437	2544	3264
438	2550	3258
439	2556	3253
440	2562	3248
441	2568	3242
442	2574	3236
443	2580	3231
444	2586	3225
445	2591	3219
446	2597	3213
447	2603	3207
448	2608	3201
449	2614	3195
450	2620	3189
451	2626	3184
452	2632	3178
453	2638	3172
454	2643	3166
455	2649	3161
456	2655	3154
457	2661	3150
458	2668	3144
459	2674	3139
460	2679	3132
461	2685	3126
462	2691	3121
463	2696	3115
464	2702	3108
465	2708	3103
466	2713	3097
467	2719	3091
468	2724	3085
469	2730	3079
470	2736	3073
471	2742	3067
472	2747	3061
473	2753	3055
474	2759	3049
475	2765	3044
476	2771	3039
477	2777	3033
478	2783	3027
479	2789	3021
480	2794	3015
481	2801	3010
482	2806	3004
483	2812	2998
484	2818	2992
485	2824	2987
486	2830	2982
487	2837	2976
488	2842	2970
489	2849	2966
490	2856	2960
491	2863	2957
492	2870	2952
493	2876	2946
494	2882	2941
495	2888	2935
496	2895	2930
497	2901	2925
498	2908	2920
499	2913	2913
500	2919	2908
501	2925	2902
502	2931	2896
503	2937	2890
504	2943	2884
505	2948	2878
506	2954	2872
507	2960	2867
508	2966	2861
509	2972	2856
510	2978	2850
511	2984	2844
512	2990	2839
513	2996	2833
514	3003	2828
515	3009	2823
516	3016	2817
517	3022	2812
518	3029	2807
519	3034	2801
520	3040	2795
521	3046	2789
522	3052	2784
523	3057	2777
524	3063	2771
525	3069	2766
526	3075	2760
527	3081	2754
528	3086	2748
529	3092	2742
530	3097	2736
531	3103	2730
532	3109	2724
533	3115	2718
534	3121	2713
535	3128	2708
536	3134	2702
537	3140	2697
538	3146	2690
539	3151	2684
540	3157	2678
541	3162	2672
542	3168	2666
543	3174	2660
544	3182	2657
545	3188	2650
546	3193	2645
547	3199	2638
548	3205	2632
549	3210	2627
550	3217	2621
551	3222	2615
552	3228	2609
553	3234	2604
554	3240	2598
555	3246	2592
556	3252	2586
557	3258	2580
558	3263	2574
559	3269	2568
560	3274	2562
561	3280	2556
562	3286	2550
563	3292	2544
564	3298	2539
565	3304	2533
566	3310	2528
567	3316	2522
568	3321	2516
569	3328	2510
570	3332	2503
571	3337	2497
572	3343	2491
573	3349	2486
574	3355	2480
575	3361	2474
576	3367	2468
577	3378	2467
578	3384	2460
579	3390	2455
580	3396	2449
581	3402	2443
582	3408	2437
583	3414	2431
584	3420	2426
585	3426	2420
586	3431	2414
587	3437	2408
588	3443	2402
589	3449	2396
590	3454	2390
591	3460	2384
592	3466	2379
593	3472	2373
594	3477	2367
595	3483	2361
596	3489	2355
597	3494	2348
598	3499	2343
599	3505	2337
600	3511	2331
601	3518	2326
602	3524	2320
603	3529	2314
604	3535	2308
605	3541	2302
606	3547	2296
607	3554	2291
608	3560	2286
609	3567	2280
610	3572	2274
611	3577	2268
612	3583	2262
613	3589	2256
614	3595	2250
615	3600	2244
616	3606	2238
617	3612	2233
618	3618	2227
619	3624	2221
620	3631	2216
621	3637	2210
622	3643	2204
623	3649	2199
624	3655	2193
625	3660	2187
626	3667	2181
627	3673	2175
628	3678	2169
629	3683	2163
630	3689	2157
631	3695	2152
632	3701	2146
633	3707	2140
634	3712	2134
635	3718	2128
636	3751	2138
637	3768	2138
638	3779	2135
639	3789	2131
640	3795	2125
641	3800	2119
642	3807	2113
643	3814	2108
644	3819	2102
645	3825	2096
646	3831	2090
647	3838	2085
648	3844	2079
649	3850	2073
650	3856	2067
651	3862	2061
652	3867	2055
653	3874	2049
654	3880	2043
655	3886	2038
656	3892	2031
657	3898	2026
658	3904	2020
659	3910	2014
660	3916	2008
661	3922	2002
662	3928	1996
663	3935	1991
664	3941	1985
665	3947	1979
666	3953	1973
667	3959	1967
668	3965	1961
669	3971	1955
670	3976	1949
671	3982	1944
672	3989	1938
673	3995	1932
674	4001	1926
675	4007	1920
676	4013	1915
677	4019	1908
678	4025	1902
679	4031	1896
680	4038	1891
681	4043	1885
682	4050	1879
683	4056	1874
684	4062	1868
685	4067	1861
686	4074	1856
687	4081	1850
688	4087	1845
689	4094	1839
690	4100	1833
691	4106	1827
692	4112	1821
693	4118	1815
694	4123	1809
695	4130	1803
696	4136	1798
697	4141	1791
698	4147	1785
699	4154	1780
700	4159	1774
701	4167	1769
702	4172	1762
703	4178	1756
704	4184	1751
705	4190	1745
706	4196	1739
707	4202	1733
708	4207	1727
709	4213	1721
710	4220	1715
711	4225	1709
712	4231	1703
713	4237	1697
714	4243	1691
715	4249	1685
716	4255	1679
717	4261	1673
718	4267	1667
719	4273	1661
720	4279	1655
721	4285	1650
722	4291	1644
723	4296	1637
724	4302	1631
725	4309	1626
726	4314	1620
727	4319	1613
728	4325	1607
729	4331	1601
730	4337	1596
731	4342	1590
732	4348	1583
733	4354	1578
734	4360	1571
735	4365	1565
736	4370	1559
737	4375	1553
738	4380	1547
739	4387	1541
740	4392	1535
741	4397	1529
742	4403	1523
743	4408	1517
744	4415	1511
745	4421	1505
746	4426	1499
747	4432	1493
748	4437	1487
749	4443	1481
750	4449	1475
751	4455	1469
752	4461	1463
753	4467	1457
754	4473	1451
755	4479	1445
756	4485	1439
757	4491	1434
758	4497	1428
759	4503	1422
760	4509	1416
761	4514	1410
762	4520	1404
763	4526	1398
764	4532	1392
765	4537	1386
766	4543	1380
767	4549	1374
768	4555	1368
769	4561	1362
770	4566	1356
771	4572	1350
772	4577	1344
773	4582	1338
774	4588	1332
775	4594	1326
776	4600	1320
777	4606	1314
778	4612	1308
779	4619	1302
780	4624	1296
781	4629	1290
782	4634	1284
783	4640	1278
784	4645	1272
785	4652	1266
786	4659	1261
787	4665	1255
788	4670	1249
789	4676	1243
790	4682	1237
791	4687	1231
792	4693	1225
793	4699	1219
794	4704	1213
795	4710	1207
796	4716	1201
797	4723	1195
798	4729	1189
799	4735	1183
800	4742	1178
801	4748	1172
802	4754	1166
803	4760	1160
804	4766	1154
805	4772	1148
806	4779	1142
807	4784	1137
808	4790	1130
809	4796	1125
810	4801	1119
811	4807	1113
812	4813	1107
813	4819	1101
814	4824	1095
815	4830	1089
816	4837	1083
817	4842	1077
818	4849	1071
819	4854	1065
820	4861	1059
821	4866	1053
822	4872	1047
823	4878	1041
824	4884	1036
825	4890	1030
826	4895	1024
827	4901	1018
828	4906	1012
829	4912	1006
830	4918	1000
831	4924	994
832	4929	988
833	4936	982
834	4942	976
835	4948	970
836	4954	964
837	4959	958
838	4965	952
839	4971	946
840	4976	940
841	4982	934
842	4988	929
843	4993	923
844	4999	917
845	5006	911
846	5012	905
847	5018	899
848	5023	893
849	5028	887
850	5034	881
851	5040	875
852	5046	869
853	5051	863
854	5056	857
855	5063	851
856	5068	845
857	5074	839
858	5079	833
859	5085	827
860	5091	821
861	5096	815
862	5102	809
863	5107	803
864	5113	798
865	5119	792
866	5124	786
867	5129	780
868	5135	774
869	5141	768
870	5146	762
871	5152	756
872	5157	750
873	5164	744
874	5169	738
875	5175	732
876	5180	726
877	5186	720
878	5205	716
879	5211	710
880	5218	704
881	5225	699
882	5230	693
883	5237	687
884	5243	681
885	5250	675
886	5255	669
887	5262	663
888	5268	657
889	5273	651
890	5278	645
891	5285	639
892	5291	634
893	5296	628
894	5303	622
895	5310	616
896	5316	610
897	5323	604
898	5329	598
899	5335	592
900	5340	586
901	5346	580
902	5352	574
903	5358	569
904	5364	563
905	5370	557
906	5376	551
907	5382	545
908	5387	539
909	5393	533
910	5399	527
911	5404	521
912	5410	515
913	5415	509
914	5422	503
915	5427	497
916	5433	491
917	5439	485
918	5444	479
919	5450	473
920	5455	467
921	5461	462
922	5466	456
923	5472	450
924	5477	444
925	5483	438
926	5489	432
927	5496	426
928	5501	420
929	5507	414
930	5513	408
931	5519	402
932	5525	396
933	5531	390
934	5537	384
935	5542	378
936	5548	373
937	5554	367
938	5560	361
939	5566	355
940	5571	349
941	5577	343
942	5583	337
943	5588	331
944	5593	325
945	5599	319
946	5605	313
947	5611	307
948	5617	301
949	5621	295
950	5627	289
951	5632	284
952	5638	278
953	5644	272
954	5649	266
955	5655	260
956	5661	254
957	5667	248
958	5673	242
959	5678	236
960	5684	230
961	5690	224
962	5695	218
963	5701	212
964	5707	207
965	5713	201
966	5720	195
967	5726	189
968	5732	183
969	5737	177
970	5743	171
971	5749	165
972	5755	159
973	5760	153
974	5765	147
975	5771	141
976	5776	135
977	5783	130
978	5788	124
979	5794	118
980	5799	112
981	5805	106
982	5810	100
983	5816	94
984	5823	88
985	5828	82
986	5833	76
987	5839	70
988	5844	65
989	5851	59
990	5856	53
991	5862	47
992	5867	41
993	5873	35
994	5879	29
995	5884	23
996	5890	17
997	5896	11
998	5901	5
999	5907	0
